annonce_id,date_publication,titre,ville,quartier,type_bien,transaction,prix,surface,nb_chambres,nb_salles_bain,etage,annee_construction,prix_m2,age_bien,categorie_prix,categorie_surface,annee_publication,mois_publication,trimestre_publication
ANO001446,2024-12-11,Beau Appartement Casablanca,casablanca,Bourgogne,inconnu,vente,472531.35,43.47,2.0,2.0,0.0,2007.0,10870.286404416838,19.0,Economique,Petit,2024,12,4
ANO000652,2023-05-19,Beau Bureau Tétouan,tétouan,M'diq,bureau,vente,938493.46,96.17,0.0,0.0,1.0,2020.0,9758.692523656026,6.0,Moyen,Moyen,2023,5,2
ANO001211,2023-11-04,Terrain moderne Meknès,meknès,Hamria,terrain,inconnu,978932.34,223.89,0.0,0.0,0.0,2008.0,4372.380812005896,18.0,Moyen,Grand,2023,11,4
ANO000305,2024-08-10,Appartement à vente - Marrakech,marrakech,Targa,appartement,vente,579926.04,124.44,1.0,1.0,2.0,2009.0,4660.2864030858245,17.0,Moyen,Moyen,2024,8,3
ANO001067,1900-01-01,Villa 284m² Tanger,tanger,Inconnu,villa,location,8055.36,284.99,4.0,3.0,0.0,2008.0,28.265412821502508,18.0,Economique,Grand,1900,1,1
ANO001304,2024-12-20,Villa à vente - Kenitra,kenitra,Centre,villa,vente,4894844.8,136.78,5.0,2.0,0.0,2011.0,35786.26114929083,15.0,Luxe,Moyen,2024,12,4
ANO000581,2023-07-13,Villa moderne Casablanca,casablanca,Bourgogne,villa,vente,2147775.39,236.49,3.0,1.0,0.0,2001.0,9081.886718254473,25.0,Haut Standing,Grand,2023,7,3
ANO001237,2024-05-16,Appartement 85m² Marrakech,marrakech,Inconnu,appartement,vente,2169626.74,85.99,3.0,1.0,0.0,2008.0,25231.151761832774,18.0,Haut Standing,Moyen,2024,5,2
ANO000582,2023-07-17,Appartement moderne Marrakech,marrakech,Hivernage,appartement,location,9859.01,61.82,3.0,2.0,2.0,2011.0,159.47929472662568,15.0,Economique,Petit,2023,7,3
ANO000191,1900-01-01,Beau Appartement Rabat,rabat,Souissi,appartement,vente,2007367.35,126.91,3.0,1.0,2.0,2004.0,15817.251201638957,22.0,Haut Standing,Moyen,1900,1,1
ANO000797,2024-06-08,Beau Villa Tétouan,tétouan,M'diq,villa,vente,2645099.21,332.82,4.0,2.0,0.0,2008.0,7947.536836728562,18.0,Haut Standing,Grand,2024,6,2
ANO001019,2023-07-27,Villa moderne Tétouan,tétouan,Inconnu,villa,vente,3067468.29,181.46,4.0,2.0,0.0,2008.0,16904.377218119695,18.0,Luxe,Grand,2023,7,3
ANO000808,2024-03-13,Villa 231m² Ville Nouvelle,fès,Ville Nouvelle,villa,vente,2784795.0,231.65,5.0,2.0,0.0,1999.0,12021.562702352687,27.0,Haut Standing,Grand,2024,3,1
ANO000140,2024-11-20,Beau Duplex Casablanca,casablanca,Maarif,duplex,vente,1869404.78,208.96,4.0,3.0,0.0,2001.0,8946.23267611026,25.0,Haut Standing,Grand,2024,11,4
ANO001004,2023-01-17,Beau Bureau Marrakech,marrakech,Inconnu,bureau,vente,1011550.14,116.25,0.0,0.0,7.0,2008.0,8701.506580645162,18.0,Moyen,Moyen,2023,1,1
ANO000298,2023-10-31,Bureau à vente - Meknès,meknès,Inconnu,bureau,vente,1402909.61,162.67,3.0,0.0,5.0,2008.0,8624.267596975473,18.0,Moyen,Grand,2023,10,4
ANO000290,2023-04-13,Appartement moderne Tétouan,tétouan,Centre,appartement,vente,590134.81,101.46,3.0,2.0,4.0,2024.0,5816.428247585256,2.0,Moyen,Moyen,2023,4,2
ANO000236,2023-04-19,Beau Villa Tétouan,tétouan,M'diq,villa,vente,2503004.98,147.57,4.0,3.0,0.0,2024.0,16961.47577420885,2.0,Haut Standing,Moyen,2023,4,2
ANO000484,2024-10-29,Beau Appartement Agadir,agadir,Inconnu,appartement,location,8034.03,92.72,3.0,2.0,0.0,2023.0,86.64829594477997,3.0,Economique,Moyen,2024,10,4
ANO000460,2023-01-27,Appartement moderne Meknès,meknès,Inconnu,appartement,vente,674788.56,69.86,1.0,1.0,0.0,2024.0,9659.154881190954,2.0,Moyen,Petit,2023,1,1
ANO001273,2023-03-19,Appartement moderne Rabat,rabat,Hay Riad,appartement,vente,504061.94,81.91,1.0,1.0,2.0,1994.0,6153.851056037114,32.0,Moyen,Moyen,2023,3,1
ANO001352,1900-01-01,Villa moderne Meknès,meknès,Inconnu,villa,location,25169.05,168.42,4.0,3.0,0.0,2011.0,149.44216838855243,15.0,Economique,Grand,1900,1,1
ANO000613,2024-02-12,Beau Appartement Kenitra,kenitra,Inconnu,appartement,vente,1542509.52,87.71,2.0,1.0,5.0,2009.0,17586.472694105578,17.0,Haut Standing,Moyen,2024,2,1
ANO000162,2023-11-15,Duplex 112m² Talborjt,agadir,Talborjt,duplex,vente,1922078.18,112.18,3.0,2.0,1.0,2008.0,17133.87573542521,18.0,Haut Standing,Moyen,2023,11,4
ANO000527,2023-02-15,Appartement moderne Tétouan,tétouan,Centre,appartement,vente,461849.01,64.74,2.0,2.0,0.0,2011.0,7133.905004633921,15.0,Economique,Petit,2023,2,1
ANO001085,1900-01-01,Appartement à vente - Agadir,agadir,Centre,appartement,vente,626639.22,111.45,2.0,2.0,5.0,2012.0,5622.604037685061,14.0,Moyen,Moyen,1900,1,1
ANO000669,2023-06-16,Appartement moderne Tétouan,tétouan,Centre,appartement,vente,322766.24,90.33,2.0,2.0,3.0,2008.0,3573.189859404406,18.0,Economique,Moyen,2023,6,2
ANO000595,2024-03-03,Beau Appartement Casablanca,casablanca,Inconnu,appartement,vente,369433.56,104.0,2.0,1.0,1.0,2001.0,3552.2457692307694,25.0,Economique,Moyen,2024,3,1
ANO000036,2023-01-03,Appartement 132m² Meknès,meknès,Inconnu,appartement,vente,598486.1,132.15,1.0,1.0,1.0,2011.0,4528.839197881195,15.0,Moyen,Moyen,2023,1,1
ANO000045,2023-01-30,Appartement moderne Casablanca,casablanca,Maarif,appartement,vente,422523.55,96.84,3.0,1.0,3.0,1986.0,4363.109768690623,40.0,Economique,Moyen,2023,1,1
ANO000304,2023-11-21,Villa à vente - Fès,fès,Medina,villa,vente,3281627.36,225.38,6.0,3.0,0.0,2003.0,14560.419558079688,23.0,Luxe,Grand,2023,11,4
ANO001498,2024-08-03,Appartement 70m² Fès,fès,Inconnu,appartement,vente,435091.73,70.27,2.0,1.0,2.0,1993.0,6191.71381813007,33.0,Economique,Petit,2024,8,3
ANO000016,2023-10-11,Beau Appartement Casablanca,casablanca,Anfa,appartement,vente,1712062.32,73.48,4.0,2.0,3.0,2015.0,23299.704953728906,11.0,Haut Standing,Petit,2023,10,4
ANO000475,2023-12-27,Villa moderne Fès,fès,Inconnu,villa,location,8070.09,182.86,3.0,2.0,0.0,1984.0,44.132615115388816,42.0,Economique,Grand,2023,12,4
ANO001325,2024-03-18,Appartement 87m² Hay Essalam,kenitra,Hay Essalam,appartement,location,8556.1,87.17,1.0,1.0,2.0,2012.0,98.15418148445566,14.0,Economique,Moyen,2024,3,1
ANO001114,2024-09-27,Beau Bureau Fès,fès,Ville Nouvelle,bureau,vente,1918544.33,148.24,0.0,0.0,1.0,2008.0,12942.150094441446,18.0,Haut Standing,Moyen,2024,9,3
ANO001469,2024-11-16,Terrain 401m² Centre Ville,tanger,Centre Ville,terrain,inconnu,762447.67,401.63,0.0,0.0,0.0,2009.0,1898.38326320245,17.0,Moyen,Grand,2024,11,4
ANO000185,2023-09-12,Beau Duplex Agadir,agadir,Centre,duplex,vente,2500669.24,162.72,3.0,2.0,8.0,2012.0,15367.927974434613,14.0,Haut Standing,Grand,2023,9,3
ANO000252,2023-10-26,Terrain 186m² Hay Qods,oujda,Hay Qods,terrain,vente,1116092.54,186.07,0.0,0.0,0.0,2024.0,5998.240124684259,2.0,Moyen,Grand,2023,10,4
ANO000182,2024-09-26,Beau Appartement Tétouan,tétouan,Inconnu,appartement,vente,722988.23,2500.0,3.0,2.0,3.0,2008.0,289.195292,18.0,Moyen,Grand,2024,9,3
ANO000610,1900-01-01,Appartement 82m² Hay Mohammadi,agadir,Hay Mohammadi,appartement,vente,719311.89,82.54,3.0,1.0,1.0,2010.0,8714.706687666585,16.0,Moyen,Moyen,1900,1,1
ANO001408,2024-10-26,Beau Appartement Casablanca,casablanca,Bourgogne,appartement,vente,651372.93,84.86,3.0,1.0,0.0,2017.0,7675.85352345039,9.0,Moyen,Moyen,2024,10,4
ANO001210,2023-06-05,Beau Bureau Kenitra,kenitra,Centre,bureau,vente,1505611.91,58.29,0.0,0.0,1.0,2004.0,25829.6776462515,22.0,Haut Standing,Petit,2023,6,2
ANO001289,2024-03-07,Villa à vente - Oujda,oujda,Hay Qods,villa,vente,2014071.06,191.72,5.0,2.0,0.0,2008.0,10505.273628207804,18.0,Haut Standing,Grand,2024,3,1
ANO000691,2023-05-21,Terrain moderne Fès,fès,Inconnu,terrain,vente,1089619.25,448.34,3.0,0.0,0.0,2001.0,2430.3413703885444,25.0,Moyen,Grand,2023,5,2
ANO000429,2023-02-05,Appartement moderne Rabat,rabat,Ocean,appartement,location,1822.73,51.72,2.0,2.0,3.0,1972.0,35.2422660479505,54.0,Economique,Petit,2023,2,1
ANO001301,2023-04-01,Bureau à vente - Tanger,tanger,Iberia,bureau,vente,977552.5,114.8,0.0,0.0,3.0,2008.0,8515.26567944251,18.0,Moyen,Moyen,2023,4,2
ANO000156,2024-02-07,Beau Appartement Tétouan,tétouan,M'diq,appartement,vente,523483.65,100.35,3.0,1.0,1.0,2016.0,5216.578475336323,10.0,Moyen,Moyen,2024,2,1
ANO001389,2023-10-16,Beau Appartement Tanger,tanger,Malabata,appartement,vente,498067.13,104.85,3.0,1.0,2.0,2007.0,4750.282594182166,19.0,Economique,Moyen,2023,10,4
ANO000810,2023-12-06,Beau Terrain Tanger,tanger,Inconnu,terrain,location,3125.37,434.92,0.0,0.0,1.0,2007.0,7.186080198657224,19.0,Economique,Grand,2023,12,4
ANO001208,2023-02-12,Beau Duplex Fès,fès,Zouagha,duplex,vente,2010887.94,51.09,3.0,2.0,6.0,2000.0,39359.71697005285,26.0,Haut Standing,Petit,2023,2,1
ANO001158,2024-09-26,Beau Appartement Meknès,meknès,Hamria,appartement,location,2161.18,86.31,3.0,2.0,4.0,2001.0,25.0397404703974,25.0,Economique,Moyen,2024,9,3
ANO001432,2024-01-10,Appartement à vente - Kenitra,kenitra,Inconnu,appartement,vente,524983.81,115.17,4.0,2.0,0.0,1997.0,4558.3381957106885,29.0,Moyen,Moyen,2024,1,1
ANO001133,2023-12-08,Appartement 122m² Ocean,rabat,Ocean,inconnu,location,2442.68,122.23,3.0,1.0,2.0,2024.0,19.98429190869672,2.0,Economique,Moyen,2023,12,4
ANO000993,2024-05-22,Terrain moderne Rabat,rabat,Ocean,terrain,location,4716.45,2500.0,0.0,0.0,0.0,2008.0,1.88658,18.0,Economique,Grand,2024,5,2
ANO000255,2023-09-17,Villa à vente - Casablanca,casablanca,Non spécifié,villa,vente,9840126.81,242.32,4.0,2.0,1.0,2017.0,40607.98452459558,9.0,Luxe,Grand,2023,9,3
ANO000238,2024-12-07,Appartement moderne Agadir,agadir,Hay Mohammadi,appartement,vente,538394.43,71.38,2.0,2.0,0.0,2013.0,7542.651022695434,13.0,Moyen,Petit,2024,12,4
ANO000748,2024-11-04,Terrain 537m² Non spécifié,casablanca,Non spécifié,terrain,vente,975323.89,537.17,0.0,0.0,0.0,1976.0,1815.6708118472739,50.0,Moyen,Grand,2024,11,4
ANO001016,2023-01-14,Terrain moderne Tanger,tanger,Inconnu,terrain,vente,185017.62,439.09,0.0,0.0,0.0,2007.0,421.3660525177071,19.0,Economique,Grand,2023,1,1
ANO000686,2023-12-12,Appartement à vente - Tanger,tanger,Inconnu,appartement,vente,1672296.86,73.09,2.0,1.0,3.0,2016.0,22879.967984676427,10.0,Haut Standing,Petit,2023,12,4
ANO000035,2024-07-25,Appartement à vente - Meknès,meknès,Inconnu,appartement,vente,508874.26,64.94,4.0,2.0,3.0,2008.0,7836.068062827226,18.0,Moyen,Petit,2024,7,3
ANO000335,2024-10-26,Beau Terrain Marrakech,marrakech,Targa,terrain,vente,817889.11,222.37,0.0,0.0,0.0,2015.0,3678.0550883662363,11.0,Moyen,Grand,2024,10,4
ANO000361,2023-01-24,Appartement à location - Casablanca,casablanca,Anfa,appartement,inconnu,7442.16,76.27,1.0,1.0,0.0,1995.0,97.5765045234037,31.0,Economique,Petit,2023,1,1
ANO000127,2024-04-05,Appartement 64m² Talborjt,agadir,Talborjt,appartement,location,11503.68,64.79,2.0,2.0,0.0,2003.0,177.5533261305757,23.0,Economique,Petit,2024,4,2
ANO000822,2023-05-02,Beau Terrain Kenitra,kenitra,Centre,terrain,location,1714.81,404.3,0.0,0.0,0.0,2017.0,4.241429631461785,9.0,Economique,Grand,2023,5,2
ANO001291,2024-11-18,Appartement à vente - Casablanca,casablanca,Maarif,appartement,vente,1443911.23,88.94,3.0,2.0,5.0,1983.0,16234.666404317517,43.0,Moyen,Moyen,2024,11,4
ANO000831,2024-07-12,Villa à vente - Rabat,rabat,Inconnu,villa,vente,2193081.13,194.82,4.0,2.0,0.0,1992.0,11256.960938302022,34.0,Haut Standing,Grand,2024,7,3
ANO001072,2023-11-03,Beau Villa Kenitra,kenitra,Centre,villa,inconnu,2961619.31,308.85,4.0,3.0,0.0,2024.0,9589.183454751497,2.0,Haut Standing,Grand,2023,11,4
ANO000972,2023-08-28,Villa moderne Fès,fès,Ville Nouvelle,villa,vente,2578960.92,304.84,4.0,3.0,0.0,2024.0,8460.047631544418,2.0,Haut Standing,Grand,2023,8,3
ANO000933,2024-04-12,Beau Appartement Fès,fès,Ville Nouvelle,appartement,vente,2229251.13,40.35,3.0,1.0,0.0,1994.0,55247.859479553896,32.0,Haut Standing,Petit,2024,4,2
ANO000096,2023-04-26,Villa moderne Fès,fès,Inconnu,villa,location,4895.82,237.86,5.0,3.0,0.0,2008.0,20.58277978642899,18.0,Economique,Grand,2023,4,2
ANO001150,2024-08-20,Appartement moderne Fès,fès,Inconnu,appartement,vente,453404.02,75.31,3.0,1.0,1.0,1993.0,6020.5021909440975,33.0,Economique,Petit,2024,8,3
ANO000983,2024-03-05,Appartement moderne Tanger,tanger,Malabata,appartement,vente,560225.13,15.0,2.0,1.0,6.0,2008.0,37348.342,18.0,Moyen,Petit,2024,3,1
ANO000360,2024-07-11,Appartement 122m² Tétouan,tétouan,Inconnu,appartement,vente,1828753.94,122.52,3.0,2.0,2.0,2016.0,14926.166666666666,10.0,Haut Standing,Moyen,2024,7,3
ANO000889,2024-04-19,Appartement moderne Oujda,oujda,Inconnu,appartement,vente,605584.76,50.82,2.0,1.0,0.0,2016.0,11916.268398268398,10.0,Moyen,Petit,2024,4,2
ANO001111,2024-03-29,Appartement à vente - Casablanca,casablanca,Hay Mohammadi,appartement,vente,659652.59,46.36,3.0,2.0,0.0,2023.0,14228.916954270922,3.0,Moyen,Petit,2024,3,1
ANO000641,2024-07-22,Duplex moderne Oujda,oujda,Inconnu,duplex,vente,612420.11,187.4,4.0,1.0,3.0,2001.0,3267.9835112059764,25.0,Moyen,Grand,2024,7,3
ANO001146,2024-04-30,Beau Appartement Oujda,oujda,Hay Qods,appartement,vente,2355614.85,99.34,3.0,2.0,0.0,2008.0,23712.65200322126,18.0,Haut Standing,Moyen,2024,4,2
ANO000690,1900-01-01,Appartement moderne Fès,fès,Inconnu,appartement,location,2135.55,120.57,2.0,1.0,4.0,2008.0,17.71211744214979,18.0,Economique,Moyen,1900,1,1
ANO000979,2024-12-14,Terrain moderne Kenitra,kenitra,Hay Essalam,terrain,vente,1062814.04,476.72,0.0,0.0,0.0,2005.0,2229.430357442524,21.0,Moyen,Grand,2024,12,4
ANO000483,2023-09-18,Villa 296m² Agdal,rabat,Agdal,villa,vente,5207074.98,296.91,5.0,2.0,1.0,2018.0,17537.55340002021,8.0,Luxe,Grand,2023,9,3
ANO001145,2024-02-08,Appartement 82m² Malabata,tanger,Malabata,appartement,location,2450.68,82.55,2.0,1.0,0.0,2008.0,29.687219866747427,18.0,Economique,Moyen,2024,2,1
ANO001308,2023-03-27,Villa moderne Kenitra,kenitra,Inconnu,villa,vente,6336352.12,222.29,6.0,4.0,0.0,1997.0,28504.890548382744,29.0,Luxe,Grand,2023,3,1
ANO000609,2024-05-19,Villa 285m² Centre,tétouan,Centre,villa,location,9137.31,285.36,5.0,2.0,0.0,2001.0,32.020290159798144,25.0,Economique,Grand,2024,5,2
ANO000900,2024-12-30,Bureau moderne Agadir,agadir,Centre,bureau,vente,675112.32,144.88,0.0,0.0,4.0,2020.0,4659.803423522915,6.0,Moyen,Moyen,2024,12,4
ANO001413,2024-10-12,Beau Appartement Meknès,meknès,Hamria,appartement,location,2888.84,76.32,3.0,1.0,7.0,2021.0,37.85167714884697,5.0,Economique,Petit,2024,10,4
ANO001033,2023-03-18,Beau Bureau Oujda,oujda,Inconnu,bureau,vente,1616689.87,143.34,0.0,0.0,0.0,2008.0,11278.707060136738,18.0,Haut Standing,Moyen,2023,3,1
ANO000567,2024-02-08,Terrain 321m² Tanger,tanger,Inconnu,terrain,location,3816.69,321.55,0.0,0.0,0.0,2012.0,11.869662571917276,14.0,Economique,Grand,2024,2,1
ANO000103,2023-08-28,Appartement 70m² Centre,kenitra,Centre,appartement,location,2813.28,70.21,2.0,2.0,1.0,2014.0,40.069505768409066,12.0,Economique,Petit,2023,8,3
ANO000496,2023-07-09,Appartement à vente - Kenitra,kenitra,Inconnu,appartement,vente,2373036.33,49.54,1.0,1.0,0.0,1995.0,47901.4196608801,31.0,Haut Standing,Petit,2023,7,3
ANO000026,2024-07-13,Appartement à vente - Tétouan,tétouan,M'diq,appartement,vente,648628.3,87.18,2.0,2.0,6.0,2007.0,7440.104381738931,19.0,Moyen,Moyen,2024,7,3
ANO001495,2024-03-28,Appartement à vente - Oujda,oujda,Centre,appartement,vente,448581.52,98.83,2.0,2.0,2.0,2008.0,4538.92057067692,18.0,Economique,Moyen,2024,3,1
ANO000263,2023-12-02,Terrain moderne Marrakech,marrakech,Gueliz,terrain,location,4200.71,355.1,0.0,1.0,0.0,2009.0,11.829653618698957,17.0,Economique,Grand,2023,12,4
ANO001209,2024-06-05,Beau Appartement Marrakech,marrakech,Targa,appartement,vente,777732.04,61.3,2.0,1.0,2.0,2003.0,12687.308972267538,23.0,Moyen,Petit,2024,6,2
ANO000212,2024-07-26,Beau Appartement Tétouan,tétouan,M'diq,appartement,location,1995.1,12.0,2.0,1.0,2.0,1996.0,166.25833333333333,30.0,Economique,Petit,2024,7,3
ANO000314,2023-07-21,Villa 147m² Ocean,rabat,Ocean,villa,vente,5153882.05,147.58,3.0,1.0,0.0,2013.0,34922.632131725164,13.0,Luxe,Moyen,2023,7,3
ANO001228,2024-06-28,Beau Bureau Casablanca,casablanca,Ain Diab,bureau,location,4170.35,127.15,0.0,0.0,6.0,2018.0,32.79866299646088,8.0,Economique,Moyen,2024,6,2
ANO001105,2024-05-21,Appartement à location - Agadir,agadir,Inconnu,appartement,inconnu,3201.3,59.63,4.0,3.0,5.0,2007.0,53.6860640617139,19.0,Economique,Petit,2024,5,2
ANO000526,2024-05-21,Appartement 44m² Hivernage,marrakech,Hivernage,appartement,vente,545723.02,44.62,3.0,2.0,0.0,2019.0,12230.457642312866,7.0,Moyen,Petit,2024,5,2
ANO000363,2023-05-14,Appartement moderne Oujda,oujda,Centre,appartement,vente,673634.01,90.97,2.0,2.0,10.0,2007.0,7405.012751456525,19.0,Moyen,Moyen,2023,5,2
ANO000821,2024-10-17,Beau Villa Oujda,oujda,Hay Qods,villa,vente,2237977.63,309.41,4.0,2.0,1.0,2013.0,7233.04880255971,13.0,Haut Standing,Grand,2024,10,4
ANO000611,2023-12-19,Appartement 90m² Tanger,tanger,Inconnu,appartement,vente,634985.73,90.83,2.0,2.0,1.0,2017.0,6990.925134867334,9.0,Moyen,Moyen,2023,12,4
ANO000222,2023-07-08,Bureau moderne Casablanca,casablanca,Anfa,inconnu,location,3930.52,91.49,0.0,0.0,1.0,2001.0,42.961197945130614,25.0,Economique,Moyen,2023,7,3
ANO000108,2023-10-30,Beau Appartement Marrakech,marrakech,Hivernage,appartement,location,2485.68,64.54,2.0,2.0,2.0,2008.0,38.51378989773783,18.0,Economique,Petit,2023,10,4
ANO000386,2023-06-30,Terrain 217m² Talborjt,agadir,Talborjt,terrain,vente,1102945.13,217.42,0.0,0.0,0.0,2024.0,5072.87797810689,2.0,Moyen,Grand,2023,6,2
ANO001485,2023-02-10,Villa moderne Rabat,rabat,Hay Riad,villa,vente,2774836.01,273.73,5.0,3.0,0.0,2019.0,10137.127863222882,7.0,Haut Standing,Grand,2023,2,1
ANO000225,2023-10-21,Bureau à location - Oujda,oujda,Inconnu,bureau,location,4251.7,3000.0,0.0,0.0,3.0,1998.0,1.4172333333333333,28.0,Economique,Grand,2023,10,4
